nombre_departamento,nombre_provincia,Cabecera,Municipios,poblacion_2010
Partido de Cañuelas,Buenos Aires,Cañuelas,-,51892
Partido de Zárate,Buenos Aires,Zárate,-,114269
Partido de General Paz,Buenos Aires,Ranchos,-,11202
Departamento Leandro N. Alem,Misiones,Leandro N. Alem,-,45075
Partido de Arrecifes,Buenos Aires,Arrecifes,-,29044
Departamento Silípica,Santiago del Estero,-,"",7712
Departamento Monteros,Tucumán,Monteros,1 (+13 CR),63641
Partido de San Andrés de Giles,Buenos Aires,San Andrés de Giles,-,23027
Partido de Alberti,Buenos Aires,Alberti,-,10654
Partido de Brandsen,Buenos Aires,Brandsen,-,26367
Partido de Lezama,Buenos Aires,Lezama,"",
Departamento Libertad,Chaco,"","",11947
Partido de Carmen de Areco,Buenos Aires,Carmen de Areco,-,14692
Departamento Apóstoles,Misiones,"","",42249
Partido de Mercedes,Buenos Aires,Mercedes,-,63284
Partido de Ramallo,Buenos Aires,Ramallo,-,33042
Partido de Colón,Buenos Aires,Colón,-,24890
Departamento Paclín,Catamarca,La Merced,1,4185
Departamento Capital,Misiones,"","",324756
Departamento de Valle Grande,Jujuy,Valle Grande,"",2451
Departamento Mburucuyá,Corrientes,"","",9283
Partido de Campana,Buenos Aires,Campana,-,94461
Departamento Albardón,San Juan,General San Martín,-,23888
Partido de Suipacha,Buenos Aires,Suipacha,-,10081
Partido de La Plata,Buenos Aires,La Plata,-,654324
Partido de San Fernando,Buenos Aires,San Fernando,-,163240
Departamento La Cocha,Tucumán,La Cocha,1 (+6 CR),19002
Departamento El Carmen,Jujuy,El Carmen,"",97039
Departamento Chicoana,Salta,"","",20710
Departamento Candelaria,Misiones,"","",27040
Departamento Itatí,Corrientes,"","",9141
Departamento La Caldera,Salta,"","",7763
Partido de San Antonio de Areco,Buenos Aires,San Antonio de Areco,-,23138
Departamento Berón de Astrada,Corrientes,"","",2434
Partido de Luján,Buenos Aires,Luján,-,106273
Partido de Salliqueló,Buenos Aires,Salliqueló,-,8644
Partido de General Las Heras,Buenos Aires,General Las Heras,-,14889
Departamento Juan Bautista Alberdi,Tucumán,Juan Bautista Alberdi,1 (+3 CR),30237
Departamento Concepción,Misiones,"","",9577
